customer_id,name,email
cus_UXtEfGZ6vUdGFT,Divya patel,divya@gmail.com
cus_UXtCQujlTPbWlf,Bhargav patel,bhargav@gmail.com
cus_UXtBld4OttGHas,Het chavda,het@gmail.com
cus_UXtB8NotdlldRQ,Lohit patel,patel@gmail.com
cus_UXtAP44ZcGq07b,tansvi kakadiya,tanvi@gmail.com
cus_UXt9lq4AzBOeV9,Mansi patel,mansi@gmail.com
cus_UXt9gXItCx4UFc,Princy kajavadara,pk@gmail.com
cus_UXt5iPy1ZgPOhi,hetvi joshi,hetvi@gmail.com
cus_UXt5DGqRH6kwNq,heli bhatt,heli@gmail.com
cus_UXt4tIU5V5S1uF,Hiyan patel,hiyan@gmail.com
cus_UXt3QPmyvuIyHw,hasti butani,hasti@gmail.com
cus_UXt22LijW9TSDn,Tirth patel,tirth@gmail.com
cus_UXt166rFPR7bT7,parita butani,pari@gmail.com
cus_UXsyYzVJj8z2Ku,Rajvi patel,rajvi@gmail.com
cus_UWomNBjCDT0QnT,Priya Kevadiya,priya596@gmail.com
